Season,Date,Matchday,Venue,Opponent,Result,GF,GA,xG,xGA,Possession,Shots,SoT,Corners,Fouls,Yellow_Cards,Red_Cards,Formation,Referee,Attendance
2021-22,2021-08-13,1,Home,Arsenal,W,2,0,1.8,0.9,42.0,11,5,3.0,12,2,0,,Chris Kavanagh,16479.0
2021-22,2021-08-21,2,Away,Crystal Palace,d,0,0,0.6,0.9,48.0,8,1,2.0,11,1,0,3-5-2,Michael Oliver,
2021-22,2021-08-28,3,Home,Aston Villa,W,1,0,0.7,0.3,45.0,10,4,6.0,10,1,0,3-5-2,David Coote,16112.0
2021-22,2021-09-18,5,Home,Wolves,W,2,0,1.5,0.6,44.0,13,5,4.0,9,1,0,3-5-2,Andre Marriner,16272.0
2021-22,2021-09-25,6,Away,West Ham,L,1,2,1.1,1.8,40.0,9,3,3.0,11,2,0,3-5-2,Michael Oliver,59936.0
2021-22,2021-10-02,7,Away,Liverpool,L,2,3,1.4,2.8,,12,5,3.0,14,3,0,3-5-2,Mike Dean,53017.0
2021-22,2021-10-16,8,Home,Chelsea,D,0,0,0.3,1.4,28.0,5,1,2.0,13,4,0,3-5-2,Anthony Taylor,16479.0
2021-22,2021-10-24,9,Away,Leicester,L,1,2,,1.6,41.0,9,2,4.0,12,2,0,3-5-2,Jarred Gillett,31949.0
2021-22,2021-10-30,10,Home,Norwich,L,1,2,1.9,1.1,,14,6,7.0,8,1,0,3-4-3,Kevin Friend,16211.0
2021-22,2021-11-06,11,Away,Newcastle,D,3,3,2.2,1.5,48.0,15,7,5.0,10,2,0,3-5-2,Simon Hooper,50073.0
2021-22,2021-11-09,4,Away,Brighton,L,0,1,0.4,1.2,37.0,7,2,,13,3,0,3-5-2,Peter Bankes,
2021-22,2021-11-20,12,Home,Everton,W,1,0,0.9,0.6,43.0,8,3,3.0,11,2,0,,Mike Dean,16479.0
2021-22,2021-11-28,13,Away,Man United,L,0,3,0.5,2.1,,6,1,2.0,12,3,0,3-5-2,Chris Kavanagh,73016.0
2021-22,2021-12-01,14,Home,Leeds,W,2,1,1.6,0.8,46.0,11,5,5.0,10,1,0,3-5-2,Jarred Gillett,16341.0
2021-22,2021-12-04,15,Away,Tottenham,L,0,2,0.7,1.5,38.0,8,2,3.0,11,2,0,3-5-2,David Coote,52514.0
2021-22,2021-12-10,16,Home,Watford,W,2,1,1.8,0.7,52.0,12,6,6.0,9,0,0,3-5-2,Andre Marriner,16211.0
2021-22,2021-12-14,17,Away,Man City,L,0,1,0.3,2.4,25.0,4,1,1.0,14,3,0,3-5-2,Michael Oliver,52613.0
2021-22,2021-12-19,18,Home,Man United,W,1,0,0.8,0.5,38.0,7,3,3.0,12,2,0,3-5-2,Peter Bankes,16479.0
2021-22,2021-12-26,19,Away,Brighton,L,0,2,0.4,1.6,,6,1,3.0,11,1,0,3-5-2,Stuart Attwell,30218.0
2021-22,2021-12-29,20,Home,Man City,L,0,1,,1.9,32.0,8,2,2.0,12,3,0,3-5-2,Kevin Friend,16479.0
2021-22,2022-01-02,21,Home,Aston Villa,D,2,2,1.5,1.3,47.0,13,5,5.0,10,2,0,3-5-2,Chris Kavanagh,16479.0
2021-22,2022-01-09,22,Away,Southampton,D,4,4,2.8,2.1,,14,8,4.0,11,2,0,3-5-2,David Coote,29512.0
2021-22,2022-01-22,23,Away,Wolves,L,1,2,0.9,1.3,42.0,10,3,3.0,12,3,0,3-5-2,Simon Hooper,28638.0
2021-22,2022-02-05,24,Home,Crystal Palace,D,0,0,0.5,0.7,45.0,7,1,4.0,10,1,0,3-5-2,Craig Pawson,16479.0
2021-22,2022-02-19,26,Home,Newcastle,L,0,2,0.6,1.1,48.0,8,2,4.0,9,1,0,3-5-2,Peter Bankes,16479.0
2021-22,2022-03-05,27,Home,Burnley,w,2,0,1.2,0.5,51.0,10,4,5.0,8,0,0,3-5-2,Craig Pawson,16342.0
2021-22,2022-03-12,28,Away,Norwich,L,1,3,0.8,1.9,46.0,9,3,4.0,10,2,0,3-4-3,Darren England,26956.0
2021-22,2022-03-19,29,Home,Leicester,W,2,1,1.4,0.9,47.0,11,5,5.0,10,1,0,3-5-2,Michael Oliver,16479.0
2021-22,2022-04-02,30,Away,Chelsea,l,1,4,0.7,2.6,30.0,8,3,2.0,13,3,0,3-5-2,Mike Dean,39858.0
2021-22,2022-04-10,31,Home,West Ham,w,2,0,1.7,0.5,47.0,12,6,6.0,8,0,0,,Stuart Attwell,16479.0
2021-22,2022-04-16,32,Away,Watford,L,1,2,0.9,1.4,43.0,10,3,3.0,11,2,0,3-5-2,Kevin Friend,20678.0
2021-22,2022-04-23,33,Home,Tottenham,D,0,0,0.3,0.8,34.0,5,0,2.0,14,3,0,3-5-2,Michael Oliver,16479.0
2021-22,2022-04-28,34,Away,Everton,L,2,3,1.5,1.8,42.0,11,5,4.0,12,2,0,3-5-2,Mike Dean,38763.0
2021-22,2022-05-07,35,Home,Southampton,W,3,0,2.1,0.4,50.0,14,7,6.0,7,0,0,3-5-2,Darren England,16479.0
2022-23,2022-05-11,13,Home,Nottm Forest,W,2,1,1.8,0.7,53.0,13,6,6.0,8,0,0,,Thomas Bramall,16479.0
2021-22,2022-05-15,36,Away,Everton,W,3,2,2.4,1.2,45.0,15,8,5.0,10,1,0,3-5-2,Craig Pawson,
2021-22,2022-05-19,37,Home,Leeds,D,1,1,1.1,0.9,49.0,10,4,4.0,9,1,0,3-5-2,Simon Hooper,16479.0
2021-22,2022-05-22,38,Away,Man City,L,0,1,,2.2,27.0,4,1,1.0,13,2,0,3-5-2,Anthony Taylor,53466.0
2022-23,2022-08-07,1,Home,Man United,W,4,0,3.1,0.8,44.0,16,7,6.0,10,1,0,3-5-2,Craig Pawson,16479.0
2022-23,2022-08-13,2,Away,Leicester,W,2,1,1.6,1.1,46.0,12,5,4.0,11,2,0,3-5-2,Simon Hooper,31882.0
2022-23,2022-08-20,3,Home,Everton,D,1,1,0.9,,51.0,10,3,5.0,12,1,0,3-5-2,Peter Bankes,16479.0
2022-23,2022-08-27,4,Away,Fulham,W,3,2,2.1,1.4,43.0,14,6,4.0,10,2,0,3-5-2,Darren England,24038.0
2022-23,2022-09-03,5,Home,Leeds,W,5,2,3.5,1.2,50.0,18,9,7.0,8,1,0,3-5-2,Michael Oliver,16479.0
2022-23,2022-09-10,6,Away,Arsenal,L,0,3,0.5,2.3,32.0,6,1,2.0,14,3,0,3-5-2,Chris Kavanagh,60260.0
2022-23,2022-09-18,7,Away,Bournemouth,D,0,0,0.7,0.4,52.0,8,2,4.0,10,1,0,3-5-2,Anthony Taylor,10249.0
2022-23,2022-10-01,8,Home,Brighton,D,0,0,0.4,0.6,45.0,7,1,3.0,11,2,0,3-5-2,Stuart Attwell,
2022-23,2022-10-08,9,Away,Newcastle,l,0,5,0.3,3.1,28.0,5,0,1.0,15,3,0,3-5-2,Robert Jones,52211.0
2022-23,2022-10-15,10,Home,Chelsea,D,0,0,0.6,0.8,38.0,7,2,3.0,12,2,0,3-5-2,Anthony Taylor,16479.0
2022-23,2022-10-22,11,Away,Wolves,L,1,2,0.8,1.5,42.0,9,3,3.0,12,2,0,3-4-3,Craig Pawson,29155.0
2022-23,2022-10-29,12,Away,Man City,L,1,2,0.6,2.2,30.0,7,2,2.0,13,3,0,3-5-2,Simon Hooper,53324.0
2021-22,2022-12-02,25,Away,Arsenal,L,0,2,0.4,1.8,36.0,6,1,2.0,13,2,0,3-5-2,Anthony Taylor,59938.0
2022-23,2022-12-11,14,Away,Man City,W,2,1,1.3,1.6,28.0,10,4,2.0,11,2,0,3-5-2,Darren England,52876.0
2022-23,2022-12-26,15,Home,Tottenham,D,2,2,1.9,1.5,43.0,14,6,5.0,10,1,0,3-5-2,Michael Oliver,16479.0
2022-23,2022-12-31,16,Away,West Ham,W,2,0,1.4,0.5,47.0,11,5,5.0,9,0,0,3-5-2,Peter Bankes,62397.0
2022-23,2023-01-02,17,Home,Liverpool,w,3,1,,,42.0,15,7,5.0,10,1,0,-,Stuart Attwell,16479.0
2022-23,2023-01-14,18,Away,Aston Villa,D,1,1,0.9,1.0,44.0,10,3,4.0,11,2,0,3-5-2,Chris Kavanagh,40832.0
2022-23,2023-01-21,19,Home,Bournemouth,W,2,0,1.6,0.4,54.0,12,5,6.0,7,0,0,3-5-2,Anthony Taylor,16479.0
2022-23,2023-02-05,20,Home,Southampton,W,3,0,2.4,0.3,,15,8,7.0,6,0,0,3-5-2,Craig Pawson,16479.0
2023-24,2023-02-09,4,Home,Bournemouth,D,0,0,0.5,0.4,48.0,7,1,4.0,10,1,0,4-2-3-1,Simon Hooper,16479.0
2022-23,2023-02-11,21,Away,Nottm Forest,D,2,2,1.5,1.3,47.0,12,5,4.0,11,2,0,3-5-2,Michael Oliver,29458.0
2022-23,2023-02-18,22,Home,Crystal Palace,D,1,1,0.8,0.9,49.0,9,3,,10,1,0,3-5-2,Peter Bankes,
2022-23,2023-02-25,23,Away,Fulham,L,2,3,1.5,2.0,42.0,13,5,4.0,11,2,0,3-5-2,Darren England,25024.0
2022-23,2023-03-04,24,Home,Newcastle,D,0,0,0.5,0.7,40.0,7,1,3.0,12,2,0,3-5-2,Stuart Attwell,16479.0
2022-23,2023-03-11,25,Away,Crystal Palace,D,1,1,0.9,0.8,45.0,8,3,,10,1,0,3-5-2,Robert Jones,23741.0
2022-23,2023-03-18,26,Home,Leicester,W,3,1,2.3,0.7,52.0,15,7,6.0,8,0,0,3-5-2,Anthony Taylor,16479.0
2022-23,2023-04-01,27,Away,Chelsea,W,2,0,1.4,0.6,38.0,10,4,3.0,12,2,0,3-5-2,Chris Kavanagh,39282.0
2022-23,2023-04-08,28,Home,Wolves,L,0,2,0.4,1.3,46.0,8,2,4.0,11,2,0,3-5-2,Thomas Bramall,16479.0
2022-23,2023-04-15,29,Away,Everton,W,3,2,2.0,1.4,,14,6,5.0,10,1,0,3-5-2,Stuart Attwell,38908.0
2022-23,2023-04-22,30,Home,Aston Villa,W,1,0,0.7,0.5,48.0,9,3,4.0,10,1,0,3-5-2,Peter Bankes,16479.0
2022-23,2023-04-26,31,Away,Tottenham,L,0,3,0.4,2.2,34.0,6,1,2.0,13,3,0,3-5-2,Michael Oliver,61487.0
2022-23,2023-05-06,32,Home,West Ham,W,2,0,,0.4,50.0,12,5,5.0,9,0,0,3-5-2,Simon Hooper,16479.0
2022-23,2023-05-13,33,Away,Leeds,L,0,2,0.6,1.4,43.0,8,2,3.0,12,2,0,3-5-2,Craig Pawson,36334.0
2022-23,2023-05-20,34,Home,Man City,w,1,0,0.8,0.6,33.0,7,3,2.0,13,3,0,3-5-2,Darren England,16479.0
2022-23,2023-05-24,35,Away,Southampton,L,0,3,0.5,2.0,40.0,7,2,3.0,12,2,0,3-5-2,Anthony Taylor,30096.0
2022-23,2023-05-28,36,Home,Man City,D,1,1,0.7,1.1,30.0,8,3,2.0,13,2,0,3-5-2,Peter Bankes,16479.0
2023-24,2023-08-12,1,Away,Tottenham,L,1,2,0.9,,38.0,9,3,3.0,12,2,0,4-3-3,Anthony Taylor,61015.0
2023-24,2023-08-19,2,Home,Crystal Palace,D,1,1,,0.9,46.0,10,3,4.0,11,1,0,4-3-3,Craig Pawson,16479.0
2023-24,2023-08-26,3,Away,Fulham,L,2,3,,2.1,42.0,12,5,4.0,11,2,0,4-3-3,Darren England,24531.0
2023-24,2023-09-16,5,Away,Burnley,w,3,1,2.1,,50.0,14,7,6.0,8,0,0,4-3-3,Stuart Attwell,20631.0
2023-24,2023-09-23,6,Home,Everton,W,3,1,2.4,0.7,52.0,15,8,7.0,8,0,0,4-3-3,Michael Oliver,16479.0
2023-24,2023-09-30,7,Away,Arsenal,L,0,1,0.3,1.8,28.0,4,0,1.0,15,3,0,4-2-3-1,Peter Bankes,60236.0
