player,position,age,nationality,apps,starts,mins,goals,assists,xG,xA,shots,shots_on_target,key_passes,pass_completion,progressive_passes,progressive_carries,tackles,interceptions,aerial_won,market_value_M
Bryan Mbeumo,RW,25,Cameroon,38,36,3150.0,15,8,13.2,7.1,95,42,62,78.5,45,38,22,15,18.0,30.0
Yoane Wissa,ST,28,DR Congo,36,30,2680.0,13,5,11.8,4.2,82,38,35,72.1,20,28,15,8,22.0,25.0
Kevin Schade,LW,23,Germany,34,28,2340.0,8,6,7.5,5.8,65,28,48,80.2,35,45,18,12,10.0,22.0
Mikkel Damsgaard,AM,24,Denmark,32,26,2180.0,5,9,4.2,7.5,42,18,72,82.4,58,32,25,18,8.0,20.0
Vitaly Janelt,CM,26,Germany,35,33,2850.0,3,4,2.8,3.5,28,10,38,85.1,42,22,48,35,15.0,15.0
Christian Norgaard,DM,31,Denmark,36,35,3060.0,2,3,1.5,2.1,15,5,25,87.3,35,12,55,42,28.0,12.0
Mathias Jensen,CM,29,Denmark,30,22,1890.0,4,6,3.1,5.2,32,12,45,83.5,38,18,30,22,10.0,10.0
Ivan Toney,ST,28,England,0,0,0.0,0,0,0.0,0.0,0,0,0,,0,0,0,0,0.0,
Ethan Pinnock,CB,31,Jamaica,34,34,3020.0,2,1,1.2,0.5,12,4,8,82.5,18,5,35,28,65.0,12.0
Nathan Collins,CB,23,Republic of Ireland,36,36,3190.0,3,1,1.8,0.4,18,6,5,85.2,22,8,42,35,58.0,25.0
Ben Mee,CB,34,England,28,26,,1,0,0.5,0.2,8,2,3,80.1,12,2,28,22,52.0,5.0
Sepp Van Den Berg,CB,22,Netherlands,32,28,2420.0,1,2,0.8,1.5,10,3,15,84.8,25,12,38,30,42.0,15.0
Rico Henry,LB,27,England,20,18,1520.0,0,3,0.2,2.8,5,1,22,78.5,28,32,22,15,8.0,15.0
Aaron Hickey,RB,22,Scotland,24,20,1680.0,1,4,0.5,3.2,8,2,28,82.1,30,25,28,18,12.0,18.0
Mark Flekken,GK,31,Netherlands,38,38,3420.0,0,0,0.0,0.0,0,0,0,72.5,0,0,0,0,,8.0
Keane Lewis-Potter,LW,23,England,28,18,1560.0,4,3,3.5,2.8,35,15,25,76.8,22,28,15,8,5.0,12.0
Frank Onyeka,CM,27,Nigeria,22,14,1180.0,1,2,0.8,1.5,12,4,18,80.5,15,10,32,25,12.0,8.0
Fabio Carvalho,AM,22,Portugal,25,16,1320.0,3,4,2.5,3.8,28,10,32,79.2,25,22,12,8,5.0,12.0
